timestamp_ns,sensor_id,row,column,value,unit,valid
0,teaching_surface,0,0,0.1,normalized,1
0,teaching_surface,0,1,0.1,normalized,1
0,teaching_surface,1,0,0.1,normalized,1
0,teaching_surface,1,1,0.1,normalized,1
100000000,teaching_surface,0,0,0.2,normalized,1
100000000,teaching_surface,0,1,0.1,normalized,1
100000000,teaching_surface,1,0,0.1,normalized,1
100000000,teaching_surface,1,1,0.1,normalized,1
200000000,teaching_surface,0,0,0.7,normalized,1
200000000,teaching_surface,0,1,0.1,normalized,1
200000000,teaching_surface,1,0,0.1,normalized,1
200000000,teaching_surface,1,1,0.1,normalized,1
300000000,teaching_surface,0,0,0.85,normalized,1
300000000,teaching_surface,0,1,0.1,normalized,1
300000000,teaching_surface,1,0,0.1,normalized,1
300000000,teaching_surface,1,1,0.1,normalized,1
400000000,teaching_surface,0,0,0.95,normalized,0
400000000,teaching_surface,0,1,0.1,normalized,1
400000000,teaching_surface,1,0,0.1,normalized,1
400000000,teaching_surface,1,1,0.1,normalized,1
500000000,teaching_surface,0,0,0.8,normalized,1
500000000,teaching_surface,0,1,0.1,normalized,1
500000000,teaching_surface,1,0,0.1,normalized,1
500000000,teaching_surface,1,1,0.1,normalized,1
600000000,teaching_surface,0,0,0.1,normalized,1
600000000,teaching_surface,0,1,0.1,normalized,1
600000000,teaching_surface,1,0,0.1,normalized,1
700000000,teaching_surface,0,0,0.1,normalized,1
700000000,teaching_surface,0,1,0.1,normalized,1
700000000,teaching_surface,1,0,0.1,normalized,1
700000000,teaching_surface,1,1,0.1,normalized,1
800000000,teaching_surface,0,0,0.1,normalized,1
800000000,teaching_surface,0,1,,normalized,1
800000000,teaching_surface,1,0,0.1,normalized,1
800000000,teaching_surface,1,1,0.1,normalized,1
900000000,teaching_surface,0,0,0.9,normalized,1
900000000,teaching_surface,0,1,0.1,normalized,1
900000000,teaching_surface,1,0,0.1,normalized,1
900000000,teaching_surface,1,1,0.1,normalized,1
1000000000,teaching_surface,0,0,0.75,normalized,1
1000000000,teaching_surface,0,1,0.1,normalized,1
1000000000,teaching_surface,1,0,0.1,normalized,1
1000000000,teaching_surface,1,1,0.1,normalized,1
1100000000,teaching_surface,0,0,0.1,normalized,1
1100000000,teaching_surface,0,1,0.1,normalized,1
1100000000,teaching_surface,1,0,0.1,normalized,1
1100000000,teaching_surface,1,1,0.1,normalized,1
